Source,Target,Weight
less,William,3
William,less,3
more,Jason,3
Jason,more,3
more,William,3
William,more,3
although,Rebecca,3
Rebecca,although,3
although,Sarah,3
Sarah,although,3
because,Rebecca,3
Rebecca,because,3
because,Sarah,3
Sarah,because,3
empty,bowl,3
bowl,empty,3
empty,container,3
container,empty,3
full,bowl,3
bowl,full,3
full,container,3
container,full,3
less,bathroom,3
bathroom,less,3
less,bedroom,3
bedroom,less,3
more,bathroom,3
bathroom,more,3
more,bedroom,3
bedroom,more,3
clear,glass,3
glass,clear,3
clear,plastic,3
plastic,clear,3
obscure,glass,3
glass,obscure,3
obscure,plastic,3
plastic,obscure,3
big,case,3
case,big,3
big,guitar,3
guitar,big,3
small,case,3
case,small,3
small,guitar,3
guitar,small,3
big,bottle,3
bottle,big,3
big,cup,3
cup,big,3
small,bottle,3
bottle,small,3
small,cup,3
cup,small,3
because,Mary,3
Mary,because,3
because,Rebecca,3
Rebecca,because,3
but,Mary,3
Mary,but,3
but,Rebecca,3
Rebecca,but,3
empty,box,3
box,empty,3
empty,pan,3
pan,empty,3
full,box,3
box,full,3
full,pan,3
pan,full,3
less,Katrina,3
Katrina,less,3
less,Samantha,3
Samantha,less,3
more,Katrina,3
Katrina,more,3
more,Samantha,3
Samantha,more,3
old,chair,3
chair,old,3
old,yoga ball,3
yoga ball,old,3
trendy,chair,3
chair,trendy,3
trendy,yoga ball,3
yoga ball,trendy,3
less,Jessica,3
Jessica,less,3
less,Tanya,3
Tanya,less,3
more,Jessica,3
Jessica,more,3
more,Tanya,3
Tanya,more,3
less,Betty,3
Betty,less,3
less,Rebecca,3
Rebecca,less,3
more,Betty,3
Betty,more,3
more,Rebecca,3
Rebecca,more,3
shorter,fence,3
fence,shorter,3
shorter,tree,3
tree,shorter,3
taller,fence,3
fence,taller,3
taller,tree,3
tree,taller,3
less,cat,3
cat,less,3
less,dog,3
dog,less,3
more,cat,3
cat,more,3
more,dog,3
dog,more,3
heavy,bag,3
bag,heavy,3
heavy,box,3
box,heavy,3
light,bag,3
bag,light,3
light,box,3
box,light,3
better,diner,3
diner,better,3
better,restaurant,3
restaurant,better,3
worse,diner,3
diner,worse,3
worse,restaurant,3
restaurant,worse,3
less,Elena,2
Elena,less,2
less,Megan,2
Megan,less,2
more,Elena,2
Elena,more,2
more,Megan,2
Megan,more,2
always,Megan,2
Megan,always,2
always,Patricia,2
Patricia,always,2
never,Megan,2
Megan,never,2
never,Patricia,2
Patricia,never,2
large,folder,2
folder,large,2
large,portfolio,2
portfolio,large,2
small,folder,2
folder,small,2
small,portfolio,2
portfolio,small,2
strong,tree,2
tree,strong,2
strong,wind,2
wind,strong,2
weak,tree,2
tree,weak,2
weak,wind,2
wind,weak,2
faster,plane,2
plane,faster,2
faster,train,2
train,faster,2
slower,plane,2
plane,slower,2
slower,train,2
train,slower,2
less,bed,2
bed,less,2
less,sofa,2
sofa,less,2
more,bed,2
bed,more,2
more,sofa,2
sofa,more,2
boring,knives,2
knives,boring,2
boring,torches,2
torches,boring,2
dramatic,knives,2
knives,dramatic,2
dramatic,torches,2
torches,dramatic,2
large,beef,2
beef,large,2
large,freezer,2
freezer,large,2
small,beef,2
beef,small,2
small,freezer,2
freezer,small,2
less,Emily,2
Emily,less,2
less,Jennifer,2
Jennifer,less,2
more,Emily,2
Emily,more,2
more,Jennifer,2
Jennifer,more,2
less,Brian,2
Brian,less,2
less,Michael,2
Michael,less,2
more,Brian,2
Brian,more,2
more,Michael,2
Michael,more,2
did not have,Brian,2
Brian,did not have,2
did not have,Matthew,2
Matthew,did not have,2
had,Brian,2
Brian,had,2
had,Matthew,2
Matthew,had,2
always,Jessica,2
Jessica,always,2
always,Rebecca,2
Rebecca,always,2
never,Jessica,2
Jessica,never,2
never,Rebecca,2
Rebecca,never,2
hated,Kayla,2
Kayla,hated,2
hated,Maria,2
Maria,hated,2
loved,Kayla,2
Kayla,loved,2
loved,Maria,2
Maria,loved,2
hated,Laura,2
Laura,hated,2
hated,Megan,2
Megan,hated,2
loved,Laura,2
Laura,loved,2
loved,Megan,2
Megan,loved,2
empty,container,2
container,empty,2
empty,tank,2
tank,empty,2
full,container,2
container,full,2
full,tank,2
tank,full,2
difficult,job,2
job,difficult,2
difficult,work,2
work,difficult,2
easy,job,2
job,easy,2
easy,work,2
work,easy,2
long,book,2
book,long,2
long,break,2
break,long,2
short,book,2
book,short,2
short,break,2
break,short,2
big,bark,2
bark,big,2
big,powder,2
powder,big,2
chunky,bark,2
bark,chunky,2
chunky,powder,2
powder,chunky,2
fine,bark,2
bark,fine,2
fine,powder,2
powder,fine,2
grainy,bark,2
bark,grainy,2
grainy,powder,2
powder,grainy,2
hates,Jason,2
Jason,hates,2
hates,Jeffrey,2
Jeffrey,hates,2
loves,Jason,2
Jason,loves,2
loves,Jeffrey,2
Jeffrey,loves,2
empty,bottle,2
bottle,empty,2
empty,flask,2
flask,empty,2
full,bottle,2
bottle,full,2
full,flask,2
flask,full,2
less,Mary,2
Mary,less,2
less,Rebecca,2
Rebecca,less,2
more,Mary,2
Mary,more,2
more,Rebecca,2
Rebecca,more,2
better,potatoes,2
potatoes,better,2
better,tomatoes,2
tomatoes,better,2
worse,potatoes,2
potatoes,worse,2
worse,tomatoes,2
tomatoes,worse,2
faster,bus,2
bus,faster,2
faster,plane,2
plane,faster,2
slower,bus,2
bus,slower,2
slower,plane,2
plane,slower,2
less,books,2
books,less,2
less,movies,2
movies,less,2
more,books,2
books,more,2
more,movies,2
movies,more,2
although,Christopher,2
Christopher,although,2
although,Michael,2
Michael,although,2
because,Christopher,2
Christopher,because,2
because,Michael,2
Michael,because,2
less,Christopher,2
Christopher,less,2
less,Jeffrey,2
Jeffrey,less,2
more,Christopher,2
Christopher,more,2
more,Jeffrey,2
Jeffrey,more,2
risky,bonds,2
bonds,risky,2
risky,stocks,2
stocks,risky,2
safe,bonds,2
bonds,safe,2
safe,stocks,2
stocks,safe,2
high,bridge,2
bridge,high,2
high,road,2
road,high,2
low,bridge,2
bridge,low,2
low,road,2
road,low,2
older,Jennifer,2
Jennifer,older,2
older,Sarah,2
Sarah,older,2
younger,Jennifer,2
Jennifer,younger,2
younger,Sarah,2
Sarah,younger,2
big,curtain,2
curtain,big,2
big,window,2
window,big,2
small,curtain,2
curtain,small,2
small,window,2
window,small,2
less,Angela,2
Angela,less,2
less,Maria,2
Maria,less,2
more,Angela,2
Angela,more,2
more,Maria,2
Maria,more,2
better,Kenneth,2
Kenneth,better,2
better,Lawrence,2
Lawrence,better,2
worse,Kenneth,2
Kenneth,worse,2
worse,Lawrence,2
Lawrence,worse,2
hates,Emily,2
Emily,hates,2
hates,Mary,2
Mary,hates,2
loves,Emily,2
Emily,loves,2
loves,Mary,2
Mary,loves,2
because,Benjamin,2
Benjamin,because,2
because,Hunter,2
Hunter,because,2
but,Benjamin,2
Benjamin,but,2
but,Hunter,2
Hunter,but,2
boring,book,2
book,boring,2
boring,magazine,2
magazine,boring,2
interesting,book,2
book,interesting,2
interesting,magazine,2
magazine,interesting,2
old,ball,2
ball,old,2
old,chair,2
chair,old,2
trendy,ball,2
ball,trendy,2
trendy,chair,2
chair,trendy,2
close,church,2
church,close,2
close,school,2
school,close,2
far,church,2
church,far,2
far,school,2
school,far,2
easier,flute,2
flute,easier,2
easier,violin,2
violin,easier,2
harder,flute,2
flute,harder,2
harder,violin,2
violin,harder,2
modern,linoleum,2
linoleum,modern,2
modern,tile,2
tile,modern,2
old,linoleum,2
linoleum,old,2
old,tile,2
tile,old,2
faster,email,2
email,faster,2
faster,letter,2
letter,faster,2
slower,email,2
email,slower,2
slower,letter,2
letter,slower,2
did not have,Natalie,2
Natalie,did not have,2
did not have,Rachel,2
Rachel,did not have,2
had,Natalie,2
Natalie,had,2
had,Rachel,2
Rachel,had,2
always,Megan,2
Megan,always,2
always,Sarah,2
Sarah,always,2
never,Megan,2
Megan,never,2
never,Sarah,2
Sarah,never,2
boring,concert,2
concert,boring,2
boring,movie,2
movie,boring,2
exciting,concert,2
concert,exciting,2
exciting,movie,2
movie,exciting,2
empty,box,2
box,empty,2
empty,jar,2
jar,empty,2
full,box,2
box,full,2
full,jar,2
jar,full,2
less,Kayla,2
Kayla,less,2
less,Rachel,2
Rachel,less,2
more,Kayla,2
Kayla,more,2
more,Rachel,2
Rachel,more,2
light,blanket,2
blanket,light,2
light,jacket,2
jacket,light,2
thick,blanket,2
blanket,thick,2
thick,jacket,2
jacket,thick,2
dry,Christine,2
Christine,dry,2
dry,Monica,2
Monica,dry,2
oily,Christine,2
Christine,oily,2
oily,Monica,2
Monica,oily,2
less,Craig,2
Craig,less,2
less,Nick,2
Nick,less,2
more,Craig,2
Craig,more,2
more,Nick,2
Nick,more,2
strong,light,2
light,strong,2
strong,wind,2
wind,strong,2
weak,light,2
light,weak,2
weak,wind,2
wind,weak,2
always,Adam,2
Adam,always,2
always,Michael,2
Michael,always,2
never,Adam,2
Adam,never,2
never,Michael,2
Michael,never,2
better,Cynthia,2
Cynthia,better,2
better,Laura,2
Laura,better,2
worse,Cynthia,2
Cynthia,worse,2
worse,Laura,2
Laura,worse,2
good,Logan,2
Logan,good,2
good,Matthew,2
Matthew,good,2
poor,Logan,2
Logan,poor,2
poor,Matthew,2
Matthew,poor,2
less,Felicia,2
Felicia,less,2
less,Tanya,2
Tanya,less,2
more,Felicia,2
Felicia,more,2
more,Tanya,2
Tanya,more,2
always,Joseph,2
Joseph,always,2
always,Robert,2
Robert,always,2
never,Joseph,2
Joseph,never,2
never,Robert,2
Robert,never,2
always,Lindsey,2
Lindsey,always,2
always,Maria,2
Maria,always,2
never,Lindsey,2
Lindsey,never,2
never,Maria,2
Maria,never,2
less,Joel,2
Joel,less,2
less,Ryan,2
Ryan,less,2
more,Joel,2
Joel,more,2
more,Ryan,2
Ryan,more,2
short,fence,2
fence,short,2
short,table,2
table,short,2
tall,fence,2
fence,tall,2
tall,table,2
table,tall,2
careful,Jessica,2
Jessica,careful,2
careful,Mary,2
Mary,careful,2
careless,Jessica,2
Jessica,careless,2
careless,Mary,2
Mary,careless,2
strong,grip,2
grip,strong,2
strong,shot,2
shot,strong,2
weak,grip,2
grip,weak,2
weak,shot,2
shot,weak,2
cold,summer,2
summer,cold,2
cold,winter,2
winter,cold,2
hot,summer,2
summer,hot,2
hot,winter,2
winter,hot,2
better,Kayla,2
Kayla,better,2
better,Victoria,2
Victoria,better,2
worse,Kayla,2
Kayla,worse,2
worse,Victoria,2
Victoria,worse,2
bad,Patricia,2
Patricia,bad,2
bad,Rachel,2
Rachel,bad,2
good,Patricia,2
Patricia,good,2
good,Rachel,2
Rachel,good,2
difficult,time,2
time,difficult,2
difficult,topic,2
topic,difficult,2
short,time,2
time,short,2
short,topic,2
topic,short,2
early,cab,2
cab,early,2
early,train,2
train,early,2
late,cab,2
cab,late,2
late,train,2
train,late,2
large,bag,2
bag,large,2
large,ball,2
ball,large,2
small,bag,2
bag,small,2
small,ball,2
ball,small,2
never,Emily,2
Emily,never,2
never,Felicia,2
Felicia,never,2
often,Emily,2
Emily,often,2
often,Felicia,2
Felicia,often,2
less,Ian,2
Ian,less,2
less,Kyle,2
Kyle,less,2
more,Ian,2
Ian,more,2
more,Kyle,2
Kyle,more,2
earlier,diner,2
diner,earlier,2
earlier,restaurant,2
restaurant,earlier,2
later,diner,2
diner,later,2
later,restaurant,2
restaurant,later,2
less,Betty,2
Betty,less,2
less,Felicia,2
Felicia,less,2
more,Betty,2
Betty,more,2
more,Felicia,2
Felicia,more,2
less,Betty,2
Betty,less,2
less,Jessica,2
Jessica,less,2
more,Betty,2
Betty,more,2
more,Jessica,2
Jessica,more,2
large,bottle,2
bottle,large,2
large,cup,2
cup,large,2
small,bottle,2
bottle,small,2
small,cup,2
cup,small,2
hated,Joel,2
Joel,hated,2
hated,Matthew,2
Matthew,hated,2
loved,Joel,2
Joel,loved,2
loved,Matthew,2
Matthew,loved,2
although,Derrick,2
Derrick,although,2
although,Leslie,2
Leslie,although,2
because,Derrick,2
Derrick,because,2
because,Leslie,2
Leslie,because,2
faster,bus,2
bus,faster,2
faster,car,2
car,faster,2
slower,bus,2
bus,slower,2
slower,car,2
car,slower,2
better,Laura,2
Laura,better,2
better,Lindsey,2
Lindsey,better,2
worse,Laura,2
Laura,worse,2
worse,Lindsey,2
Lindsey,worse,2
longer,Jeffrey,2
Jeffrey,longer,2
longer,Leslie,2
Leslie,longer,2
shorter,Jeffrey,2
Jeffrey,shorter,2
shorter,Leslie,2
Leslie,shorter,2
because,Kevin,2
Kevin,because,2
because,Ryan,2
Ryan,because,2
even though,Kevin,2
Kevin,even though,2
even though,Ryan,2
Ryan,even though,2
free of,bank,2
bank,free of,2
free of,brokerage,2
brokerage,free of,2
mired in,bank,2
bank,mired in,2
mired in,brokerage,2
brokerage,mired in,2
easier,heels,2
heels,easier,2
easier,sneakers,2
sneakers,easier,2
harder,heels,2
heels,harder,2
harder,sneakers,2
sneakers,harder,2
large,body,2
body,large,2
large,casket,2
casket,large,2
small,body,2
body,small,2
small,casket,2
casket,small,2
faster,calculator,2
calculator,faster,2
faster,computer,2
computer,faster,2
slower,calculator,2
calculator,slower,2
slower,computer,2
computer,slower,2
always,Kenneth,2
Kenneth,always,2
always,Kyle,2
Kyle,always,2
never,Kenneth,2
Kenneth,never,2
never,Kyle,2
Kyle,never,2
thick,hair,2
hair,thick,2
thick,ribbon,2
ribbon,thick,2
thin,hair,2
hair,thin,2
thin,ribbon,2
ribbon,thin,2
newer,car,2
car,newer,2
newer,truck,2
truck,newer,2
older,car,2
car,older,2
older,truck,2
truck,older,2
big,bed,2
bed,big,2
big,room,2
room,big,2
small,bed,2
bed,small,2
small,room,2
room,small,2
clean,car,2
car,clean,2
clean,towel,2
towel,clean,2
dirty,car,2
car,dirty,2
dirty,towel,2
towel,dirty,2
better,Jessica,2
Jessica,better,2
better,Tanya,2
Tanya,better,2
poorer,Jessica,2
Jessica,poorer,2
poorer,Tanya,2
Tanya,poorer,2
long,list,2
list,long,2
long,sheet,2
sheet,long,2
short,list,2
list,short,2
short,sheet,2
sheet,short,2
big,finger,2
finger,big,2
big,ring,2
ring,big,2
small,finger,2
finger,small,2
small,ring,2
ring,small,2
less,Amy,2
Amy,less,2
less,Felicia,2
Felicia,less,2
more,Amy,2
Amy,more,2
more,Felicia,2
Felicia,more,2
easier,pen,2
pen,easier,2
easier,pencil,2
pencil,easier,2
harder,pen,2
pen,harder,2
harder,pencil,2
pencil,harder,2
better,Christopher,2
Christopher,better,2
better,Donald,2
Donald,better,2
worse,Christopher,2
Christopher,worse,2
worse,Donald,2
Donald,worse,2
less,Emily,2
Emily,less,2
less,Natalie,2
Natalie,less,2
more,Emily,2
Emily,more,2
more,Natalie,2
Natalie,more,2
a hard,Katrina,2
Katrina,a hard,2
a hard,Sarah,2
Sarah,a hard,2
an easy,Katrina,2
Katrina,an easy,2
an easy,Sarah,2
Sarah,an easy,2
less,arms,2
arms,less,2
less,legs,2
legs,less,2
more,arms,2
arms,more,2
more,legs,2
legs,more,2
less,Lindsey,2
Lindsey,less,2
less,Mary,2
Mary,less,2
more,Lindsey,2
Lindsey,more,2
more,Mary,2
Mary,more,2
heavy,flag,2
flag,heavy,2
heavy,wind,2
wind,heavy,2
light,flag,2
flag,light,2
light,wind,2
wind,light,2
did not have,Jennifer,2
Jennifer,did not have,2
did not have,Natalie,2
Natalie,did not have,2
had,Jennifer,2
Jennifer,had,2
had,Natalie,2
Natalie,had,2
big,car,2
car,big,2
big,garage,2
garage,big,2
full,car,2
car,full,2
full,garage,2
garage,full,2
always,Hunter,2
Hunter,always,2
always,Joseph,2
Joseph,always,2
never,Hunter,2
Hunter,never,2
never,Joseph,2
Joseph,never,2
less,car,2
car,less,2
less,plane,2
plane,less,2
more,car,2
car,more,2
more,plane,2
plane,more,2
high,cash,2
cash,high,2
high,price,2
price,high,2
low,cash,2
cash,low,2
low,price,2
price,low,2
bitter,coffee,2
coffee,bitter,2
bitter,tea,2
tea,bitter,2
sweet,coffee,2
coffee,sweet,2
sweet,tea,2
tea,sweet,2
asked for,Jeffrey,2
Jeffrey,asked for,2
asked for,Kevin,2
Kevin,asked for,2
offered,Jeffrey,2
Jeffrey,offered,2
offered,Kevin,2
Kevin,offered,2
big,cake,2
cake,big,2
big,plate,2
plate,big,2
small,cake,2
cake,small,2
small,plate,2
plate,small,2
strong,club,2
club,strong,2
strong,wall,2
wall,strong,2
weak,club,2
club,weak,2
weak,wall,2
wall,weak,2
large,envelope,2
envelope,large,2
large,letter,2
letter,large,2
small,envelope,2
envelope,small,2
small,letter,2
letter,small,2
faster,computer,2
computer,faster,2
faster,paper,2
paper,faster,2
slower,computer,2
computer,slower,2
slower,paper,2
paper,slower,2
the,computer,2
computer,the,2
the,paper,2
paper,the,2
harder,bed,2
bed,harder,2
harder,couch,2
couch,harder,2
softer,bed,2
bed,softer,2
softer,couch,2
couch,softer,2
less,golf ball,2
golf ball,less,2
less,tennis ball,2
tennis ball,less,2
more,golf ball,2
golf ball,more,2
more,tennis ball,2
tennis ball,more,2
cheap,bike,2
bike,cheap,2
cheap,car,2
car,cheap,2
expensive,bike,2
bike,expensive,2
expensive,car,2
car,expensive,2
less,Emily,2
Emily,less,2
less,Patricia,2
Patricia,less,2
more,Emily,2
Emily,more,2
more,Patricia,2
Patricia,more,2
poorer,Donald,2
Donald,poorer,2
poorer,Justin,2
Justin,poorer,2
richer,Donald,2
Donald,richer,2
richer,Justin,2
Justin,richer,2
long,book,2
book,long,2
long,magazine,2
magazine,long,2
short,book,2
book,short,2
short,magazine,2
magazine,short,2
big,game,2
game,big,2
big,table,2
table,big,2
small,game,2
game,small,2
small,table,2
table,small,2
although,Elena,2
Elena,although,2
although,Natalie,2
Natalie,although,2
because,Elena,2
Elena,because,2
because,Natalie,2
Natalie,because,2
large,backpack,2
backpack,large,2
large,book,2
book,large,2
small,backpack,2
backpack,small,2
small,book,2
book,small,2
always,Lawrence,2
Lawrence,always,2
always,Nelson,2
Nelson,always,2
never,Lawrence,2
Lawrence,never,2
never,Nelson,2
Nelson,never,2
hot,honey,2
honey,hot,2
hot,jar,2
jar,hot,2
small,honey,2
honey,small,2
small,jar,2
jar,small,2
bigger,aquarium,2
aquarium,bigger,2
bigger,tank,2
tank,bigger,2
smaller,aquarium,2
aquarium,smaller,2
smaller,tank,2
tank,smaller,2
although,Patricia,2
Patricia,although,2
although,Samantha,2
Samantha,although,2
because,Patricia,2
Patricia,because,2
because,Samantha,2
Samantha,because,2
less,Brett,2
Brett,less,2
less,Ian,2
Ian,less,2
more,Brett,2
Brett,more,2
more,Ian,2
Ian,more,2
less,Carrie,2
Carrie,less,2
less,Rebecca,2
Rebecca,less,2
more,Carrie,2
Carrie,more,2
more,Rebecca,2
Rebecca,more,2
hated,Erin,2
Erin,hated,2
hated,Jennifer,2
Jennifer,hated,2
loved,Erin,2
Erin,loved,2
loved,Jennifer,2
Jennifer,loved,2
easier,job,2
job,easier,2
easier,school,2
school,easier,2
harder,job,2
job,harder,2
harder,school,2
school,harder,2
large,car,2
car,large,2
large,garage,2
garage,large,2
small,car,2
car,small,2
small,garage,2
garage,small,2
large,list,2
list,large,2
large,purse,2
purse,large,2
small,list,2
list,small,2
small,purse,2
purse,small,2
big,couch,2
couch,big,2
big,living room,2
living room,big,2
small,couch,2
couch,small,2
small,living room,2
living room,small,2
did not have,Leslie,2
Leslie,did not have,2
did not have,Randy,2
Randy,did not have,2
had,Leslie,2
Leslie,had,2
had,Randy,2
Randy,had,2
less,Mary,2
Mary,less,2
less,Megan,2
Megan,less,2
more,Mary,2
Mary,more,2
more,Megan,2
Megan,more,2
hated,Leslie,2
Leslie,hated,2
hated,Matthew,2
Matthew,hated,2
loved,Leslie,2
Leslie,loved,2
loved,Matthew,2
Matthew,loved,2
narrow,backpack,2
backpack,narrow,2
narrow,mat,2
mat,narrow,2
wide,backpack,2
backpack,wide,2
wide,mat,2
mat,wide,2
less,Jessica,2
Jessica,less,2
less,Katrina,2
Katrina,less,2
more,Jessica,2
Jessica,more,2
more,Katrina,2
Katrina,more,2
student,Rachel,2
Rachel,student,2
student,Samantha,2
Samantha,student,2
teacher,Rachel,2
Rachel,teacher,2
teacher,Samantha,2
Samantha,teacher,2
embarrassed,Christine,2
Christine,embarrassed,2
embarrassed,Jessica,2
Jessica,embarrassed,2
supportive,Christine,2
Christine,supportive,2
supportive,Jessica,2
Jessica,supportive,2
cramped,box,2
box,cramped,2
cramped,cage,2
cage,cramped,2
spacious,box,2
box,spacious,2
spacious,cage,2
cage,spacious,2
colorful,carnations,2
carnations,colorful,2
colorful,roses,2
roses,colorful,2
dull,carnations,2
carnations,dull,2
dull,roses,2
roses,dull,2
large,flowers,2
flowers,large,2
large,pots,2
pots,large,2
small,flowers,2
flowers,small,2
small,pots,2
pots,small,2
long,script,2
script,long,2
long,time,2
time,long,2
short,script,2
script,short,2
short,time,2
time,short,2
ideal,garden,2
garden,ideal,2
ideal,greenhouse,2
greenhouse,ideal,2
poor,garden,2
garden,poor,2
poor,greenhouse,2
greenhouse,poor,2
empty,bowl,2
bowl,empty,2
empty,mouth,2
mouth,empty,2
full,bowl,2
bowl,full,2
full,mouth,2
mouth,full,2
because,Lawrence,2
Lawrence,because,2
because,Steven,2
Steven,because,2
but,Lawrence,2
Lawrence,but,2
but,Steven,2
Steven,but,2
close to,garage,2
garage,close to,2
close to,house,2
house,close to,2
far from,garage,2
garage,far from,2
far from,house,2
house,far from,2
less,Maria,2
Maria,less,2
less,Patricia,2
Patricia,less,2
more,Maria,2
Maria,more,2
more,Patricia,2
Patricia,more,2
because,Natalie,2
Natalie,because,2
because,Victoria,2
Victoria,because,2
but,Natalie,2
Natalie,but,2
but,Victoria,2
Victoria,but,2
less,Betty,2
Betty,less,2
less,Sarah,2
Sarah,less,2
more,Betty,2
Betty,more,2
more,Sarah,2
Sarah,more,2
faster,Elena,2
Elena,faster,2
faster,Monica,2
Monica,faster,2
slower,Elena,2
Elena,slower,2
slower,Monica,2
Monica,slower,2
less,Angela,2
Angela,less,2
less,Katrina,2
Katrina,less,2
more,Angela,2
Angela,more,2
more,Katrina,2
Katrina,more,2
far,bike,2
bike,far,2
far,job,2
job,far,2
old,bike,2
bike,old,2
old,job,2
job,old,2
less,book,2
book,less,2
less,magazine,2
magazine,less,2
more,book,2
book,more,2
more,magazine,2
magazine,more,2
less,Betty,2
Betty,less,2
less,Mary,2
Mary,less,2
more,Betty,2
Betty,more,2
more,Mary,2
Mary,more,2
large,paper,2
paper,large,2
large,plan,2
plan,large,2
small,paper,2
paper,small,2
small,plan,2
plan,small,2
abundant,garden,2
garden,abundant,2
abundant,pot,2
pot,abundant,2
lacking,garden,2
garden,lacking,2
lacking,pot,2
pot,lacking,2
forgotten,Amy,2
Amy,forgotten,2
forgotten,Christine,2
Christine,forgotten,2
remembered,Amy,2
Amy,remembered,2
remembered,Christine,2
Christine,remembered,2
narrow,door,2
door,narrow,2
narrow,table,2
table,narrow,2
wide,door,2
door,wide,2
wide,table,2
table,wide,2
hated,Adam,2
Adam,hated,2
hated,Craig,2
Craig,hated,2
loved,Adam,2
Adam,loved,2
loved,Craig,2
Craig,loved,2
always,Laura,2
Laura,always,2
always,Sarah,2
Sarah,always,2
never,Laura,2
Laura,never,2
never,Sarah,2
Sarah,never,2
clean,floor,2
floor,clean,2
clean,mop,2
mop,clean,2
dirty,floor,2
floor,dirty,2
dirty,mop,2
mop,dirty,2
empty,bag,2
bag,empty,2
empty,refrigerator,2
refrigerator,empty,2
full,bag,2
bag,full,2
full,refrigerator,2
refrigerator,full,2
less,Cynthia,2
Cynthia,less,2
less,Elena,2
Elena,less,2
more,Cynthia,2
Cynthia,more,2
more,Elena,2
Elena,more,2
strong,rain,2
rain,strong,2
strong,wind,2
wind,strong,2
weak,rain,2
rain,weak,2
weak,wind,2
wind,weak,2
new,oxford shirt,2
oxford shirt,new,2
new,tuxedo shirt,2
tuxedo shirt,new,2
old,oxford shirt,2
oxford shirt,old,2
old,tuxedo shirt,2
tuxedo shirt,old,2
new,SUV,2
SUV,new,2
new,sedan,2
sedan,new,2
old,SUV,2
SUV,old,2
old,sedan,2
sedan,old,2
less,arm,2
arm,less,2
less,leg,2
leg,less,2
more,arm,2
arm,more,2
more,leg,2
leg,more,2
less,Jessica,2
Jessica,less,2
less,Mary,2
Mary,less,2
more,Jessica,2
Jessica,more,2
more,Mary,2
Mary,more,2
less,dresses,2
dresses,less,2
less,pants,2
pants,less,2
more,dresses,2
dresses,more,2
more,pants,2
pants,more,2
large,envelope,2
envelope,large,2
